Name of location,City/Municipality,Province,Region 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Marikina City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Makati City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Caloocan City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Muntinlupa City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Parañaque City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Quezon City,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Manila City,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Malabon City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Pasig City ,Metro Manila ,NCR 
Mount Purro Nature Reserve Foundation (MPNRF) ,Antipolo City,Rizal,IV-A
Kalinga Foundation and Lasallian Mission ,Manila City,Metro Manila ,NCR 
Art Relief Mobile Kitchen ,Lipa City,Batangas,IV-A
Art Relief Mobile Kitchen ,Los Baños,Laguna ,IV-A
Art Relief Mobile Kitchen ,Parañaque City ,Metro Manila ,NCR 
Caritas Manila,Pasay City ,Metro Manila ,NCR 
SPECS Foundation ,Pasay City ,Metro Manila ,NCR 
"Kaisahan Ng Magulang At Anak Na May Kapansanan (Kaisaka), Inc.",Manila City,Metro Manila ,NCR 
Community Physioteraphy and Rehabilitation Facilitators (CPREF),Valenzuela City ,Metro Manila ,NCR 
Community Physioteraphy and Rehabilitation Facilitators (CPREF),Manila City,Metro Manila ,NCR 
Asian Charities ,Muntinlupa City ,Metro Manila ,NCR 
"Don Bosco Youth Center - Tondo, Inc.",Manila City,Metro Manila ,NCR 
"City Government of Sipalay, Negros Occidental ",Sipalay City,Negros Occidental ,VI
"City Government of Sagay, Negros Occidental ",Sagay City,Negros Occidental ,VI
"City Government of Escalante, Negros Occidental ",Escalante City,Negros Occidental ,VI
"City Government of Silay, Negros Occidental ",Silay City,Negros Occidental ,VI
Carlos Hilado Memorial State College (Univ of St La Salle Bacolod),Talisay City,Cebu,VII
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),San Jose del Monte City,Bulacan ,III
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Imus,Cavite,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),San Fernando City,Pampanga,III
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Cebu City,Cebu,VII
"Marillac Hills, Alabang ",Muntinlupa City ,Metro Manila ,NCR 
Philippine Business for Social Progress (PBSP),Rodriguez (Montalban),Rizal,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Mandaluyong City,Metro Manila ,NCR 
Anihan Technical School,Calamba City,Laguna ,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Valenzuela City ,Metro Manila ,NCR 
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Lapu Lapu City,Cebu,VII
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Dasmariñas City,Cavite,IV-A
Solidarity of the Oppressed Filipinos/Damayan ng Maralitang Pilipino ,Manila City,Metro Manila ,NCR 
Human Rights and People Empowerment Center - Muntinlupa Chapter (c/o SNPP),Muntinlupa City ,Metro Manila ,NCR 
Solidarity of the Oppressed Filipinos/Damayan ng Maralitang Pilipino ,Quezon City,Metro Manila ,NCR 
Diocese of Imus - St. Benedict Parish,Silang,Cavite,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Mandaue City,Cebu,VII
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Sta. Rosa City,Laguna ,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Biñan City,Laguna ,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),San Pedro City,Laguna ,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Guiginto ,Bulacan ,III
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Baras,Rizal,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Cainta ,Rizal,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Teresa,Rizal,IV-A
Samahan ng Nagkakaisang Pantawid Pamilya (SNPP),Cardona,Rizal,IV-A
Pasig City Jail - Male Dormitory ,Pasig City ,Metro Manila ,NCR 
